Order,Scalable Brain ID,Label (provisional),X,Y,Z,UMLS ID,UMLS ID (Boyu),LBD ID,MeSH descriptor name,MeSH descriptor ID,Wikidata,Remarks
271,Str_L_6_5 (dCa),striatum - dorsal caudate,-14.435,2.059,16.307,C0010097,C0010097,http://www.linked-neuron-data.org/resource/caudate,Corpus Striatum,https://meshb.nlm.nih.gov/record/ui?ui=D003342,https://www.wikidata.org/wiki/Q1319792,Could be more specific
2,Str_R_6_5 (dCa),striatum - dorsal caudate,13.91,5.63,14.321,C0010097,C0010097,http://www.linked-neuron-data.org/resource/caudate,Corpus Striatum,https://meshb.nlm.nih.gov/record/ui?ui=D003342,https://www.wikidata.org/wiki/Q1319792,Could be more specific
110,Str_L_6_6 (dlPu),striatum - dorsolateral putamen,-28.28,-5.142,1.277,C0010097,C0010097,http://www.linked-neuron-data.org/resource/dorsal_striatum,Corpus Striatum,https://meshb.nlm.nih.gov/record/ui?ui=D003342,https://www.wikidata.org/wiki/Q1319792,Could be more specific
209,Str_R_6_6 (dlPu),striatum - dorsolateral putamen,29.111,-3.366,1.366,C0010097,C0010097,http://www.linked-neuron-data.org/resource/dorsal_striatum,Corpus Striatum,https://meshb.nlm.nih.gov/record/ui?ui=D003342,https://www.wikidata.org/wiki/Q1319792,Could be more specific
198,Str_L_6_2 (GP),striatum - globus pallidus,-21.757,-1.882,3.93,,C0010097,http://www.linked-neuron-data.org/resource/globus_pallidus,Globus Pallidus,https://www.wikidata.org/wiki/Q1759633,https://www.wikidata.org/wiki/Q1759633,Could be more specific
252,Str_R_6_2 (GP),striatum - globus pallidus,21.945,-1.905,3.576,,C0010097,http://www.linked-neuron-data.org/resource/globus_pallidus,Globus Pallidus,https://www.wikidata.org/wiki/Q1759633,https://www.wikidata.org/wiki/Q1759633,Could be more specific
130,Str_L_6_1 (vCa),striatum - ventral caudate,-11.794,14.614,-0.002,C0010097,C0010097,http://www.linked-neuron-data.org/resource/caudate,Corpus Striatum,https://meshb.nlm.nih.gov/record/ui?ui=D003342,https://www.wikidata.org/wiki/Q1319792,Could be more specific
199,Str_R_6_1 (vCa),striatum - ventral caudate,14.674,14.668,-2.538,C0010097,C0010097,http://www.linked-neuron-data.org/resource/caudate,Corpus Striatum,https://meshb.nlm.nih.gov/record/ui?ui=D003342,https://www.wikidata.org/wiki/Q1319792,Could be more specific
82,Str_L_6_4 (vmPu),striatum - ventromedial putamen,-22.437,6.639,-3.561,C0010097,C0010097,http://www.linked-neuron-data.org/resource/ventral_striatum,Corpus Striatum,https://meshb.nlm.nih.gov/record/ui?ui=D003342,https://www.wikidata.org/wiki/Q1319792,Could be more specific
175,Str_R_6_4 (vmPu),striatum - ventromedial putamen,21.653,7.962,-1.535,C0010097,C0010097,http://www.linked-neuron-data.org/resource/ventral_striatum,Corpus Striatum,https://meshb.nlm.nih.gov/record/ui?ui=D003342,https://www.wikidata.org/wiki/Q1319792,Could be more specific
