"brainregion","disease","count"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","4480"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","2330"
"Genus Hippocampus","cortex bone disorders","2134"
"Pituitary Gland","Pituitary Diseases","2045"
"Cerebral cortex","cortex bone disorders","1567"
"Brain Stem","Spinal Cord Diseases","1057"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","1001"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","965"
"Corpus striatum structure","cortex bone disorders","821"
"Neostriatum","cortex bone disorders","820"
"Substantia nigra structure","Parkinson Disease","816"
"Thalamic structure","cortex bone disorders","756"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","711"
"BRAIN, HIPPOCAMPUS","Depressive disorder","623"
"BRAIN, HIPPOCAMPUS","Functional disorder","563"
"Genus Hippocampus","Alzheimer's Disease","480"
"Cerebral cortex","Alzheimer's Disease","466"
"Pars Compacta","Parkinson Disease","459"
"Cerebellum","cortex bone disorders","453"
"Cerebral cortex","Functional disorder","419"
"Midbrain structure","Parkinson Disease","409"
"Bundle, Predorsal","Parkinson Disease","385"
"Pyramidal Cells","cortex bone disorders","385"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","364"
"Cerebellum","Spinal Cord Diseases","354"
"Medulla Oblongata","Spinal Cord Diseases","345"
"Cerebral cortex","Spinal Cord Diseases","342"
"Corpus striatum structure","Parkinson Disease","305"
"Neostriatum","Parkinson Disease","303"
"Hypothalamic structure","Pituitary Diseases","301"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","292"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","291"
"Basal Ganglia","Parkinson Disease","264"
"Amygdaloid structure","cortex bone disorders","263"
"Genus Hippocampus","Depressive disorder","259"
"Brain Stem","cortex bone disorders","242"
"Cerebral cortex","Neurotoxicity Syndromes","223"
"Basal Forebrain","Alzheimer's Disease","219"
"Hypothalamic structure","cortex bone disorders","202"
"Genus Hippocampus","Functional disorder","194"
"Cortex, Primary Motor","Spinal Cord Diseases","194"
"Entire medulla oblongata","Spinal Cord Diseases","190"
"BRAIN, HIPPOCAMPUS","Spinal Cord Diseases","187"
"Cerebral hemisphere structure (body structure)","Alzheimer's Disease","187"
"Motor Cortex","Spinal Cord Diseases","179"
"Triangular Septal Nucleus","Gilles de la Tourette syndrome","177"
"Tectospinal tract of medulla","Timothy syndrome","177"
"Triangular Septal Nucleus","Timothy syndrome","177"
"Tectospinal tract of medulla","Gilles de la Tourette syndrome","177"
"Neostriatum","Huntington Disease","174"
"Basal Ganglia","cortex bone disorders","172"
"Corpus striatum structure","Huntington Disease","171"
"Nucleus fastigii","Fetal Alcohol Syndrome","171"
"Lateral Septal Nucleus","Leigh Disease","166"
"Structure of fissure of Sylvius","Leigh Disease","166"
"Superior colliculus of corpora quadrigemina","Retinal Diseases","163"
"Structure of subthalamic nucleus","Parkinson Disease","162"
"Genus Hippocampus","Spinal Cord Diseases","158"
"BRAIN, HIPPOCAMPUS","Neurodegenerative Disorders","157"
