Brain Region,UMLS ID
"Amygdalar Nucleus, Medial",C0175217
"BRAIN, HIPPOCAMPUS",C0019564
Cerebellar lobe,C0458396
Cerebellar vermis structure,C0228482
Cerebral hemisphere structure (body structure),C0228174
"Cerebri, Crus",C3495416
Corpus striatum structure,C0010097
lateral amygdalar nucleus,C0175221
Lateral posterior nucleus of thalamus,C0228341
Left cuneus,C2323777
Left inferior frontal gyrus,C2327613
Left insula,C2324050
Left middle temporal gyrus,C2326406
Left parahippocampal gyrus,C2340470
Left postcentral gyrus,C2329204
Left superior temporal sulcus,C2950799
Nucleus Accumbens,C0028633
Right cuneus,C2322588
Right inferior frontal gyrus,C2338392
Right insula,C2331118
Right lateral occipital gyrus,C2334048
Right middle temporal gyrus,C2339358
Right parahippocampal gyrus,C2335378
Right superior temporal gyrus,C2330566
Right superior temporal sulcus,C2952785
Structure of precuneus,C0152306
Thalamic structure,C0039729
