C0446642	Tissue of brain NEC
C0446643	Specified tissue of brain NEC
C0007799	Cerebral Ventricles
C0007769	Cerebral aqueduct
C0228170	Structure of ependyma of aqueduct of Sylvius
C1289694	Entire ependyma of aqueduct of Sylvius
C1284576	Entire cerebral aqueduct
C0228170	Structure of ependyma of aqueduct of Sylvius
C0008524	Structure of choroid plexus
C0152289	Structure of choroid plexus of lateral ventricle
C2336794	Choroid plexus of left lateral ventricle
C2339548	Choroid plexus of right lateral ventricle
C1267713	Entire choroid plexus of lateral ventricle
C0152290	Structure of tela choroidea of lateral ventricle
C2324162	Tela choroidea of right lateral ventricle
C2333967	Tela choroidea of left lateral ventricle
C0152289	Structure of choroid plexus of lateral ventricle
C1284578	Entire tela choroidea of lateral ventricle
C0152291	Structure of choroid plexus of third ventricle
C1267714	Entire choroid plexus of third ventricle
C0152292	Structure of tela choroidea of third ventricle
C0152291	Structure of choroid plexus of third ventricle
C1284579	Entire tela choroidea of third ventricle
C0152293	Structure of choroid plexus of fourth ventricle
C1267715	Entire choroid plexus of fourth ventricle
C0152294	Structure of tela choroidea of fourth ventricle
C0152293	Structure of choroid plexus of fourth ventricle
C1284580	Entire tela choroidea of fourth ventricle
C1280704	Entire choroid plexus
C1267713	Entire choroid plexus of lateral ventricle
C1267714	Entire choroid plexus of third ventricle
C1267715	Entire choroid plexus of fourth ventricle
C0014472	Ependyma
C0228162	Structure of ependyma of lateral ventricle
C2323274	Ependyma of left lateral ventricle
C2325039	Ependyma of right lateral ventricle
C1289693	Entire ependyma of lateral ventricle
C0228163	Ependyma of third ventricle
C0038533	Structure of subcommissural organ
C1289615	Entire subcommissural organ
C1284575	Entire ependyma of third ventricle
C0228170	Structure of ependyma of aqueduct of Sylvius
C0228171	Structure of ependyma of fourth ventricle
C1289695	Entire ependyma of fourth ventricle
C0228605	Structure of ependyma of spinal cord
C1289696	Entire ependyma of spinal cord
C2960340	Structure of ependyma of brain ventricle
C0228162	Structure of ependyma of lateral ventricle
C0228163	Ependyma of third ventricle
C0228170	Structure of ependyma of aqueduct of Sylvius
C0228171	Structure of ependyma of fourth ventricle
C0036700	Septum Pellucidum
C0152278	Lamina septum pellucidum
C1284572	Entire septum pellucidum
C0149555	Third ventricle structure
C0016520	Structure of interventricular foramen
C1281034	Entire interventricular foramen
C0152292	Structure of tela choroidea of third ventricle
C0228163	Ependyma of third ventricle
C0228164	Structure of optic recess of third ventricle
C1289697	Entire optic recess of third ventricle
C0228165	Structure of infundibular recess of third ventricle
C1289698	Entire infundibular recess of third ventricle
C0228166	Structure of pineal recess of third ventricle
C1289699	Entire pineal recess of third ventricle
C0228167	Structure of hypothalamic sulcus of third ventricle
C1289700	Entire hypothalamic sulcus of third ventricle
C1268983	Entire third ventricle
C0149556	Fourth ventricle structure
C0152287	Lateral aperture of fourth ventricle
C2328613	Left lateral aperture of fourth ventricle
C2340056	Right lateral aperture of fourth ventricle
C0152288	Foramen of Magendie
C0152285	Structure of inferior medullary velum
C1289477	Entire inferior medullary velum
C0152286	Structure of lateral recess of fourth ventricle
C1289701	Entire lateral recess of fourth ventricle
C0152294	Structure of tela choroidea of fourth ventricle
C0228171	Structure of ependyma of fourth ventricle
C0228172	Tegmen of fourth ventricle
C0152284	Superior medullary velum
C1289690	Entire superior medullary velum
C1284577	Entire tegmen of fourth ventricle
C0228435	Structure of median eminence of pons
C1289464	Entire median eminence of pons
C0228528	Rhomboid fossa structure
C0228529	Structure of calamus scriptorius
C1289467	Entire calamus scriptorius
C0228530	Structure of area postrema
C1289468	Entire area postrema
C1284678	Entire rhomboid fossa
C1278832	Entire fourth ventricle
C0152279	Lateral ventricle structure
C0228160	Right lateral ventricle structure
C1289034	Entire right lateral ventricle
C0228161	Left lateral ventricle structure
C1289056	Entire left lateral ventricle
C0016520	Structure of interventricular foramen
C0152280	Structure of body of lateral ventricle
C2326055	Body of left lateral ventricle
C2332034	Body of right lateral ventricle
C1281032	Entire body of lateral ventricle
C0152281	Structure of anterior horn of lateral ventricle
C2322974	Frontal horn of right lateral ventricle
C2337421	Frontal horn of left lateral ventricle
C1281033	Entire anterior horn of lateral ventricle
C0152282	Occipital horn of lateral ventricle
C2332632	Occipital horn of right lateral ventricle
C2340135	Occipital horn of left lateral ventricle
C0228225	Structure of calcar avis
C1289692	Entire calcar avis
C1284573	Entire posterior horn of lateral ventricle
C0152283	Temporal horn of lateral ventricle
C2338600	Temporal horn of left lateral ventricle
C2339674	Temporal horn of right lateral ventricle
C0228227	Structure of collateral eminence
C1289652	Entire collateral eminence
C1284574	Entire inferior horn of lateral ventricle
C0152290	Structure of tela choroidea of lateral ventricle
C0228162	Structure of ependyma of lateral ventricle
C1268982	Entire lateral ventricle
C1289034	Entire right lateral ventricle
C1289056	Entire left lateral ventricle
C0016520	Structure of interventricular foramen
C0152278	Lamina septum pellucidum
C0152280	Structure of body of lateral ventricle
C0152281	Structure of anterior horn of lateral ventricle
C0152282	Occipital horn of lateral ventricle
C0152283	Temporal horn of lateral ventricle
C0152284	Superior medullary velum
C0152285	Structure of inferior medullary velum
C0152286	Structure of lateral recess of fourth ventricle
C0152287	Lateral aperture of fourth ventricle
C0152288	Foramen of Magendie
C0228156	Periventricular gray matter
C0228324	Periventricular gray matter of thalamus
C1289592	Entire periventricular gray matter of thalamus
C0228371	Periventricular gray matter of hypothalamus
C1289565	Entire periventricular gray matter of hypothalamus
C0228157	Periventricular white matter
C0228158	Fifth ventricle
C1289618	Entire cavum septi pellucidi
C0228159	Cavum vergae
C0228160	Right lateral ventricle structure
C0228161	Left lateral ventricle structure
C0228162	Structure of ependyma of lateral ventricle
C0228163	Ependyma of third ventricle
C0228164	Structure of optic recess of third ventricle
C0228165	Structure of infundibular recess of third ventricle
C0228166	Structure of pineal recess of third ventricle
C0228167	Structure of hypothalamic sulcus of third ventricle
