MeSH ID,UMLS ID,Concept Preferred Label
D000679,C0002708,Amygdaloid structure
D065843,C3495416,Cerebri Crus
D054022,C0228174,Cerebral hemisphere structure (body structure)
D006179,C0018427,Gyrus Cinguli
D009778,C0028785,Occipital lobe
D013702,C0039485,Temporal Lobe
D006624,C0019564,BRAIN HIPPOCAMPUS
D017397,C0152296,Structure of superior frontal gyrus
D002540,C0007776,Cerebral cortex
D010296,C0030560,Parietal Lobe
D020534,C0175194,Presubiculum
D013003,C0037658,Somatosensory Cortex
D005625,C0016733,Lobe Frontal
D003342,C0010097,Corpus striatum structure
D009714,C0028633,Nucleus Accumbens
D013788,C0039729,Thalamic structure
